index,model_a,model_b,prediction,ground_truth
420,gpt4o-audio,gemini2-flash-exp,2,1
421,asr+llama3+tts,gemini2-flash-exp+asr+tts,2,tie
422,diva+tts,asr+llama3+tts,tie,tie
424,asr+llama3+tts,gpt4o-audio+asr+tts,2,tie
426,moshi,gpt4o-text+tts,2,2
429,gpt4o-audio+asr+tts,gemini2-flash-exp+asr+tts,2,tie
431,diva+tts,qwen2-audio+tts,2,1
432,typhoon2-audio,gemini2-flash-exp,2,2
433,gpt4o-audio+asr+tts,gemini2-flash-exp+asr+tts,1,1
434,asr+llama3+tts,gpt4o-audio,2,1
435,moshi,llama-omni,1,2
440,qwen2-audio+tts,llama-omni,1,1
441,gpt4o-audio,llama-omni,1,1
442,qwen2-audio+tts,diva+tts,2,tie
443,typhoon2-audio,gemini2-flash-text+tts,2,2
445,gpt4o-audio,gpt4o-text+tts,2,1
447,gpt4o-audio,gemini2-flash-exp,tie,tie
449,gpt4o-audio,gemini2-flash-exp+asr+tts,tie,1
450,qwen2-audio+tts,moshi,1,1
454,gpt4o-audio+asr+tts,typhoon2-audio+tts,1,1
455,qwen2-audio+tts,gemini2-flash-exp,2,tie
456,gpt4o-audio+asr+tts,typhoon2-audio+tts,2,tie
461,moshi,diva+tts,2,2
465,typhoon2-audio+tts,gpt4o-audio+asr+tts,1,tie
466,qwen2-audio+tts,typhoon2-audio,tie,tie
467,llama-omni,typhoon2-audio+tts,1,2
468,typhoon2-audio+tts,typhoon2-audio,1,1
472,llama-omni,typhoon2-audio,1,tie
474,gpt4o-text+tts,gemini2-flash-text+tts,2,2
475,gpt4o-audio+asr+tts,gemini2-flash-exp+asr+tts,2,tie
476,diva+tts,moshi,1,1
478,moshi,asr+llama3+tts,2,2
481,diva+tts,typhoon2-audio,1,tie
486,asr+llama3+tts,gemini2-flash-text+tts,1,tie
493,gemini2-flash-exp+asr+tts,gpt4o-audio,2,2
495,gemini2-flash-exp+asr+tts,qwen2-audio+tts,1,tie
496,gpt4o-audio,qwen2-audio+tts,1,2
505,gemini2-flash-exp,moshi,1,1
506,moshi,qwen2-audio+tts,2,tie
