index,model_a,model_b,prediction,ground_truth
5842,gpt-3.5-turbo,mpt-7b-chat,tie,tie
2262,chatglm-6b,RWKV-4-Raven-14B,1,tie
1238,dolly-v2-12b,alpaca-13b,2,tie
7386,wizardlm-13b,oasst-pythia-12b,1,1
3291,gpt-3.5-turbo,vicuna-13b,1,tie
6365,stablelm-tuned-alpha-7b,palm-2,2,tie
5855,palm-2,mpt-7b-chat,2,2
4832,oasst-pythia-12b,mpt-7b-chat,2,2
4833,gpt-4,koala-13b,1,tie
5860,alpaca-13b,vicuna-7b,1,1
4330,mpt-7b-chat,gpt-4,2,2
752,llama-13b,oasst-pythia-12b,2,1
2801,llama-13b,dolly-v2-12b,2,2
5872,RWKV-4-Raven-14B,koala-13b,tie,tie
2293,oasst-pythia-12b,llama-13b,1,1
758,alpaca-13b,chatglm-6b,2,2
1276,alpaca-13b,koala-13b,2,1
1279,gpt-3.5-turbo,oasst-pythia-12b,1,1
1281,oasst-pythia-12b,gpt-3.5-turbo,1,2
770,oasst-pythia-12b,stablelm-tuned-alpha-7b,2,2
5894,gpt-4,vicuna-7b,1,2
775,alpaca-13b,vicuna-13b,2,2
1802,chatglm-6b,alpaca-13b,1,1
1808,gpt-4,llama-13b,2,1
790,vicuna-13b,llama-13b,1,1
3352,alpaca-13b,claude-v1,1,tie
5403,claude-instant-v1,claude-v1,2,1
1821,vicuna-13b,gpt-4,1,1
797,vicuna-13b,oasst-pythia-12b,1,tie
3873,oasst-pythia-12b,gpt-4,2,tie
5926,claude-instant-v1,vicuna-13b,2,tie
3370,gpt-3.5-turbo,vicuna-13b,2,1
3883,gpt-4,fastchat-t5-3b,2,tie
2349,claude-v1,dolly-v2-12b,1,1
4912,vicuna-7b,alpaca-13b,1,2
6451,gpt-3.5-turbo,vicuna-13b,2,2
5433,koala-13b,vicuna-7b,1,2
1339,stablelm-tuned-alpha-7b,oasst-pythia-12b,2,2
2877,fastchat-t5-3b,koala-13b,2,1
2365,fastchat-t5-3b,gpt-3.5-turbo,2,2
4929,gpt-4,vicuna-13b,2,tie
1859,llama-13b,gpt-3.5-turbo,2,2
4422,dolly-v2-12b,alpaca-13b,2,2
7496,wizardlm-13b,palm-2,1,2
5963,gpt-4,chatglm-6b,1,1
5454,gpt-3.5-turbo,mpt-7b-chat,1,1
1360,oasst-pythia-12b,chatglm-6b,2,2
6993,guanaco-33b,alpaca-13b,1,1
4947,vicuna-7b,mpt-7b-chat,1,1
339,dolly-v2-12b,alpaca-13b,2,2
4949,vicuna-13b,palm-2,1,1
4951,alpaca-13b,gpt-4,2,2
345,koala-13b,vicuna-13b,2,tie
2909,vicuna-13b,koala-13b,1,1
350,oasst-pythia-12b,vicuna-13b,1,1
1887,fastchat-t5-3b,oasst-pythia-12b,1,1
861,alpaca-13b,dolly-v2-12b,2,1
6497,palm-2,vicuna-7b,1,tie
3939,alpaca-13b,vicuna-13b,2,2
4454,mpt-7b-chat,chatglm-6b,2,1
7527,mpt-7b-chat,RWKV-4-Raven-14B,2,2
3944,koala-13b,alpaca-13b,2,1
5482,vicuna-13b,dolly-v2-12b,1,1
5997,oasst-pythia-12b,vicuna-13b,2,2
2929,gpt-4,oasst-pythia-12b,1,1
1393,koala-13b,gpt-4,2,2
4978,chatglm-6b,vicuna-7b,2,tie
7540,vicuna-7b,oasst-pythia-12b,2,tie
1909,RWKV-4-Raven-14B,gpt-3.5-turbo,2,2
882,oasst-pythia-12b,alpaca-13b,1,1
377,alpaca-13b,dolly-v2-12b,1,1
4474,vicuna-13b,stablelm-tuned-alpha-7b,1,1
4478,alpaca-13b,gpt-3.5-turbo,1,tie
6019,claude-instant-v1,vicuna-13b,tie,tie
4484,gpt-4,stablelm-tuned-alpha-7b,2,2
6020,chatglm-6b,claude-instant-v1,tie,tie
6541,vicuna-13b,chatglm-6b,1,tie
4498,alpaca-13b,koala-13b,2,tie
403,koala-13b,stablelm-tuned-alpha-7b,1,1
7573,guanaco-33b,alpaca-13b,1,1
5019,vicuna-7b,gpt-3.5-turbo,1,1
3483,RWKV-4-Raven-14B,alpaca-13b,2,tie
925,alpaca-13b,stablelm-tuned-alpha-7b,1,1
5025,gpt-4,stablelm-tuned-alpha-7b,1,tie
930,llama-13b,vicuna-13b,2,tie
5027,gpt-3.5-turbo,vicuna-13b,1,1
5546,oasst-pythia-12b,dolly-v2-12b,2,tie
1966,dolly-v2-12b,RWKV-4-Raven-14B,2,2
7087,chatglm-6b,wizardlm-13b,1,tie
2481,koala-13b,dolly-v2-12b,1,2
1458,oasst-pythia-12b,vicuna-13b,2,2
2484,alpaca-13b,gpt-3.5-turbo,2,2
437,oasst-pythia-12b,alpaca-13b,tie,tie
7605,wizardlm-13b,vicuna-13b,1,2
6584,koala-13b,RWKV-4-Raven-14B,1,1
7097,gpt-4,koala-13b,2,1
5051,vicuna-13b,oasst-pythia-12b,1,tie
5565,mpt-7b-chat,dolly-v2-12b,1,tie
1983,dolly-v2-12b,RWKV-4-Raven-14B,2,2
6083,vicuna-7b,koala-13b,tie,tie
4549,RWKV-4-Raven-14B,palm-2,2,2
456,alpaca-13b,stablelm-tuned-alpha-7b,1,1
6091,claude-v1,vicuna-7b,2,1
1485,oasst-pythia-12b,llama-13b,1,tie
7629,alpaca-13b,oasst-pythia-12b,tie,2
5583,palm-2,claude-instant-v1,2,2
976,oasst-pythia-12b,alpaca-13b,2,2
981,alpaca-13b,dolly-v2-12b,tie,1
471,oasst-pythia-12b,stablelm-tuned-alpha-7b,1,tie
6618,mpt-7b-chat,dolly-v2-12b,1,1
4068,chatglm-6b,alpaca-13b,2,tie
5613,claude-v1,stablelm-tuned-alpha-7b,1,tie
2031,dolly-v2-12b,vicuna-13b,2,2
7154,gpt-3.5-turbo,fastchat-t5-3b,2,tie
6131,vicuna-13b,claude-instant-v1,2,2
4087,claude-v1,dolly-v2-12b,1,1
1529,koala-13b,vicuna-13b,2,2
6650,chatglm-6b,gpt-4,2,2
4603,palm-2,gpt-4,2,2
